route_id,event_id,start_month,end_month,route_active,weekly_frequency_proxy,carrier,evidence_type,confidence,source_title,source_url,evidence_note
YKF_YYC,YKF_YYC_2021_START,2021-05-01,2021-12-01,1,3,Flair,official_airport_release,high,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d,YKF to YYC starts 2021-05-02 with Tuesday Thursday Saturday service.
YKF_YYC,YKF_YYC_2022_SUMMER,2022-06-01,2022-10-01,1,5,Flair,schedule_archive,medium,Flair Airlines Summer 2022 Network Update,https://www.aeroroutes.com/eng/220407-f8ns22,AeroRoutes reports Calgary to Kitchener/Waterloo increasing to 5 weekly from 2022-06-07.
YKF_YYC,YKF_YYC_2024_SUMMER,2024-05-01,2025-12-01,1,7,Flair,schedule_archive,medium,Flair Airlines NS24 Network Changes,https://www.aeroroutes.com/eng/240326-f8ns24,AeroRoutes reports Kitchener/Waterloo to Calgary increasing to 7 weekly in peak summer 2024.
YKF_YYC,YKF_YYC_2026_CURRENT_SUPPORT,2025-06-01,2025-12-01,1,7,WestJet|Flair,current_schedule_support,medium,Direct flights from Kitchener to Calgary,https://www.directflights.com/YKF-YYC,Current 2026 schedule shows nonstop YKF to YYC with WestJet and Flair; used only to support continuity through late 2025.
YKF_YEG,YKF_YEG_2021_START,2021-05-01,2023-01-01,1,3,Flair,official_airport_release,high,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d,YKF to YEG starts 2021-05-01 with Tuesday Thursday Saturday service.
YKF_YEG,YKF_YEG_2023_GAP,2023-02-01,2024-04-01,0,0,Flair,schedule_archive,medium,Flair Airlines NS24 Network Changes,https://www.aeroroutes.com/eng/240326-f8ns24,AeroRoutes states Kitchener/Waterloo to Edmonton was last served until January 2023 before resuming in May 2024.
YKF_YEG,YKF_YEG_2024_RESUME,2024-05-01,2025-12-01,1,2,Flair,schedule_archive,medium,Flair Airlines NS24 Network Changes,https://www.aeroroutes.com/eng/240326-f8ns24,AeroRoutes reports Kitchener/Waterloo to Edmonton resuming effective 2024-05-05 at 2 weekly and 3 weekly from 2024-05-28.
YKF_YHZ,YKF_YHZ_2021_START,2021-05-01,2025-12-01,1,4,Flair,official_airport_release,high,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d,YKF to YHZ starts 2021-05-03 with Monday Wednesday Friday Sunday service.
YKF_YHZ,YKF_YHZ_2022_SUMMER,2022-06-01,2022-10-01,1,9,Flair,schedule_archive,medium,Flair Airlines Summer 2022 Network Update,https://www.aeroroutes.com/eng/220407-f8ns22,AeroRoutes reports Kitchener/Waterloo to Halifax increasing to 9 weekly from 2022-06-10.
YKF_YHZ,YKF_YHZ_2024_SUMMER,2024-05-01,2024-10-01,1,8,Flair,schedule_archive,medium,Flair Airlines NS24 Network Changes,https://www.aeroroutes.com/eng/240326-f8ns24,AeroRoutes reports Kitchener/Waterloo to Halifax increasing to 8 weekly in peak summer 2024.
YKF_YVR,YKF_YVR_2021_START,2021-05-01,2025-09-01,1,7,Flair,official_airport_release,high,Waterloo Airport and Flair Airlines Announce Additional Destinations,https://www.regionofwaterloo.ca/Modules/News/index.aspx?newsId=8caed158-c3ef-449b-8b24-4c4dbe5ea81d,YKF to YVR starts 2021-05-03 with daily service.
YKF_YVR,YKF_YVR_2022_SUMMER,2022-07-01,2022-10-01,1,9,Flair,schedule_archive,medium,Flair Airlines Summer 2022 Network Update,https://www.aeroroutes.com/eng/220407-f8ns22,AeroRoutes reports Kitchener/Waterloo to Vancouver increasing to 9 weekly from 2022-07-06.
YKF_YVR,YKF_YVR_2024_SUMMER,2024-05-01,2024-10-01,1,7,Flair,schedule_archive,medium,Flair Airlines NS24 Network Changes,https://www.aeroroutes.com/eng/240326-f8ns24,AeroRoutes reports Kitchener/Waterloo to Vancouver increasing to 7 weekly in peak summer 2024.
YKF_YVR,YKF_YVR_2025_END,2025-10-01,2025-12-01,0,0,Flair,current_schedule_support,medium,Direct flights from Kitchener to Vancouver,https://www.directflights.com/YKF-YVR,Directflights shows no current nonstop YKF to YVR and says Flair ended in September 2025.
YHM_YEG,YHM_YEG_2020_SWOOP,2020-07-01,2023-10-01,1,6,Swoop,official_airport_release,high,Swoop Announces Summer Schedule,https://flyhamilton.ca/swoop-announces-summer-schedule/,Hamilton to Edmonton operated in Swoop summer 2020 at 6 weekly; FlightsFrom later lists Swoop last scheduled 2023-10-27.
YHM_YEG,YHM_YEG_2025_PORTER,2025-06-01,2025-12-01,1,7,Porter,official_airport_release,high,Hamilton International Starts Construction and Unveils Summer Schedule with New Daily Service from Porter,https://flyhamilton.ca/hamilton-international-starts-construction-and-unveils-summer-schedule-with-new-daily-service-from-porter/,Porter daily direct Hamilton to Edmonton service starts in early June 2025.
YHM_YVR,YHM_YVR_2025_PORTER,2025-06-01,2025-12-01,1,7,Porter,official_airport_release,high,Porter Airlines first-ever Hamilton flights taking off to Halifax and Vancouver,https://flyhamilton.ca/porter-airlines-first-ever-hamilton-flights-taking-off-to-halifax-and-vancouver/,Porter Hamilton to Vancouver starts June 2025 with daily service and up to 2 daily starting June 28.
YHM_YYC,YHM_YYC_2023_WINTER,2023-11-01,2024-04-01,1,7,WestJet,official_airport_release,medium,Your Winter Getaway Starts Here at Hamilton International,https://flyhamilton.ca/your-winter-getaway-starts-here-at-hamilton-international/,Hamilton winter 2023/24 program says WestJet continues nonstop connectivity between Hamilton and Calgary.
YHM_YYC,YHM_YYC_2025_PORTER,2025-06-01,2025-12-01,1,7,Porter|WestJet,official_airport_release,high,Hamilton International Starts Construction and Unveils Summer Schedule with New Daily Service from Porter,https://flyhamilton.ca/hamilton-international-starts-construction-and-unveils-summer-schedule-with-new-daily-service-from-porter/,Porter daily direct Hamilton to Calgary service starts in early June 2025.
YXU_YYC,YXU_YYC_2020_LEGACY,2020-01-01,2020-10-01,1,,Air Canada,third_party_historical_schedule,low,Direct flights from London to Calgary,https://www.flightsfrom.com/YXU-YYC,FlightsFrom lists Air Canada as a past YXU to YYC operator with last scheduled flight in October 2020.
YXU_YYC,YXU_YYC_2021_WESTJET_RESTART,2021-06-01,2025-12-01,1,4,WestJet,official_airline_release,high,WestJet reconnecting Ontario routes,https://westjet.mediaroom.com/2021-06-25-WestJet-reconnecting-Ontario-routes,WestJet restarted London to Calgary on 2021-06-25 with peak frequency of 4 weekly.
YXU_YYC,YXU_YYC_2023_FLAIR,2023-06-01,2023-10-01,1,3,Flair,official_airport_release,high,London International Airport Announces New Service to Calgary with Flair Airlines,https://flyyxu.ca/press-releases/london-international-airport-announces-new-service-to-calgary-with-flair-airlines/,Flair YXU to YYC announced as 3 weekly from 2023-06-01 through end of October.
YXU_YYC,YXU_YYC_2024_FLAIR,2024-06-01,2024-09-01,1,5,Flair,official_airport_release,high,Start Here Go Anywhere,https://flyyxu.ca/press-releases/start-here-go-anywhere/,London 2024 summer schedule lists Flair direct Calgary 5 weekly beginning in June.
YXU_YVR,YXU_YVR_2023_FLAIR_START,2023-06-01,2025-09-01,1,3,Flair,schedule_archive,medium,Flair Airlines Launches Domestic Routes From London ON in Summer 2023,https://www.aeroroutes.com/eng/221104-f8jun23yxu,AeroRoutes reports London to Vancouver effective 2023-06-07 with 3 weekly flights.
YXU_YVR,YXU_YVR_2024_SUMMER,2024-06-01,2024-09-01,1,2,Flair,official_airport_release,high,Start Here Go Anywhere,https://flyyxu.ca/press-releases/start-here-go-anywhere/,London 2024 summer schedule lists Flair direct Vancouver twice weekly beginning in June.
YXU_YVR,YXU_YVR_2025_END,2025-10-01,2025-12-01,0,0,Flair,current_schedule_support,medium,Direct flights from London to Vancouver,https://www.directflights.com/YXU-YVR,Directflights shows no current nonstop YXU to YVR and says Flair ended in September 2025.
YXX_YYC,YXX_YYC_2022_FLAIR_WESTJET,2022-05-01,2025-12-01,1,9,WestJet|Flair,schedule_archive,medium,Flair Airlines Summer 2022 Network Update,https://www.aeroroutes.com/eng/220407-f8ns22,AeroRoutes reports Calgary to Abbotsford increasing from 7 to 9 weekly and later 12 weekly in summer 2022.
YXX_YYC,YXX_YYC_2026_CURRENT_SUPPORT,2025-06-01,2025-12-01,1,41,WestJet|Flair,current_schedule_support,medium,Flights from Abbotsford to Calgary,https://www.flightconnections.com/flights-from-yxx-to-yyc,Current 2026 schedule lists nonstop YXX to YYC with Flair and WestJet; used only to support continuity through late 2025.
YXX_YEG,YXX_YEG_2020_SWOOP,2020-07-01,2021-12-01,1,4,Swoop,official_airport_release,high,Swoop Announces Summer Schedule,https://flyhamilton.ca/swoop-announces-summer-schedule/,Swoop summer 2020 listed Edmonton to Abbotsford at 4 weekly.
YXX_YEG,YXX_YEG_2022_FLAIR,2022-03-01,2025-12-01,1,10,Flair|Swoop,schedule_archive,medium,Flair Airlines Summer 2022 Network Update,https://www.aeroroutes.com/eng/220407-f8ns22,AeroRoutes reports Edmonton to Abbotsford increasing to 10 weekly and later 14 weekly in summer 2022.
