iata,statcan_airport,coverage_note
YEG,"Edmonton International, Alberta",Covered in StatsCan 23-10-0302-01 airport movements.
YHZ,"Halifax/Robert L. Stanfield International, Nova Scotia",Covered in StatsCan 23-10-0302-01 airport movements.
YVR,"Vancouver International, British Columbia",Covered in StatsCan 23-10-0302-01 airport movements.
YYC,"Calgary International, Alberta",Covered in StatsCan 23-10-0302-01 airport movements.
YYZ,"Toronto/Lester B. Pearson International, Ontario",Covered in StatsCan 23-10-0302-01 airport movements.
YHM,"Hamilton, Ontario",Covered in StatsCan 23-10-0302-01 airport movements.
YKF,"Kitchener/Waterloo, Ontario",Covered in StatsCan 23-10-0302-01 airport movements.
YLW,"Kelowna, British Columbia",Covered in StatsCan 23-10-0302-01 airport movements.
YXU,"London, Ontario",Covered in StatsCan 23-10-0302-01 airport movements.
YXX,"Abbotsford, British Columbia",Covered in StatsCan 23-10-0302-01 airport movements.

