route_id,scenario,campaign_budget_cad,route_segment,end_of_period_route_status,capacity_required_flag,baseline_annual_passenger_proxy,max_lift_pct_adjusted,half_saturation_spend_cad_adjusted,response_share,incremental_passenger_proxy,incremental_pct_of_baseline_proxy,cost_per_incremental_passenger_proxy_cad,incremental_route_health_points,marketing_support_priority_score_v0,route_sustainability_score_v0,data_confidence_score,source_recommendation
YKF_YVR,conservative,0,long_haul,inactive,1,92558.1204,0.0203,175500.0000,0.0000,0.0000,0.0000,,0.0000,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,conservative,25000,long_haul,inactive,1,92558.1204,0.0203,175500.0000,0.1247,210.4724,0.0023,118.7804,0.8102,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,conservative,50000,long_haul,inactive,1,92558.1204,0.0203,175500.0000,0.2217,374.2769,0.0040,133.5909,1.4407,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,conservative,75000,long_haul,inactive,1,92558.1204,0.0203,175500.0000,0.2994,505.3858,0.0055,148.4015,1.9454,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,conservative,100000,long_haul,inactive,1,92558.1204,0.0203,175500.0000,0.3630,612.7001,0.0066,163.2120,2.3585,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,conservative,150000,long_haul,inactive,1,92558.1204,0.0203,175500.0000,0.4608,777.8750,0.0084,192.8330,2.9943,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,conservative,250000,long_haul,inactive,1,92558.1204,0.0203,175500.0000,0.5875,991.7677,0.0107,252.0751,3.8177,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,conservative,400000,long_haul,inactive,1,92558.1204,0.0203,175500.0000,0.6950,1173.2328,0.0127,340.9383,4.5162,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,base,0,long_haul,inactive,1,92558.1204,0.0486,162000.0000,0.0000,0.0000,0.0000,,0.0000,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
YKF_YVR,base,25000,long_haul,inactive,1,92558.1204,0.0486,162000.0000,0.1337,601.7785,0.0065,41.5435,1.2720,81.9442,76.7484,99.4792,Relaunch feasibility test; verify airline capacity first
