scenario_id,spend_mechanism,effect_strength,effect_multiplier,noise_pct,model_spec,replications,top_channel_recovery_rate,mean_top2_budget_direction_overlap,mean_spearman_rank_corr,mean_budget_efficiency_ratio,mean_positive_sign_accuracy,dominant_estimated_top_channel
channel_bundle_base,channel_bundle,base,1.000000,0.140000,controlled_adstock,40,0.250000,0.562500,0.020000,0.845920,0.643750,paid_social
channel_bundle_base,channel_bundle,base,1.000000,0.140000,controlled_saturation,40,0.300000,0.637500,0.185000,0.866219,0.562500,paid_social
channel_bundle_base,channel_bundle,base,1.000000,0.140000,naive_raw_spend,40,0.175000,0.537500,-0.005000,0.835031,0.781250,paid_social
channel_bundle_strong,channel_bundle,strong,1.600000,0.120000,controlled_adstock,40,0.400000,0.675000,0.240000,0.882772,0.637500,paid_search
channel_bundle_strong,channel_bundle,strong,1.600000,0.120000,controlled_saturation,40,0.400000,0.675000,0.285000,0.890026,0.575000,paid_search
channel_bundle_strong,channel_bundle,strong,1.600000,0.120000,naive_raw_spend,40,0.250000,0.475000,0.035000,0.844500,0.775000,paid_social
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,controlled_adstock,40,0.500000,0.600000,0.215000,0.887527,0.531250,paid_search
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,controlled_saturation,40,0.475000,0.675000,0.305000,0.901201,0.506250,paid_search
channel_bundle_weak,channel_bundle,weak,0.500000,0.180000,naive_raw_spend,40,0.275000,0.462500,0.095000,0.856737,0.768750,local_ooh
demand_following_base,demand_following,base,1.000000,0.140000,controlled_adstock,40,1.000000,0.500000,0.490000,0.980548,0.462500,paid_search
demand_following_base,demand_following,base,1.000000,0.140000,controlled_saturation,40,0.775000,0.650000,0.515000,0.959999,0.493750,paid_search
demand_following_base,demand_following,base,1.000000,0.140000,naive_raw_spend,40,0.000000,0.500000,-0.200000,0.824086,0.750000,paid_social
demand_following_strong,demand_following,strong,1.600000,0.120000,controlled_adstock,40,0.975000,0.512500,0.510000,0.979720,0.468750,paid_search
demand_following_strong,demand_following,strong,1.600000,0.120000,controlled_saturation,40,0.825000,0.650000,0.635000,0.971970,0.468750,paid_search
demand_following_strong,demand_following,strong,1.600000,0.120000,naive_raw_spend,40,0.000000,0.500000,-0.200000,0.823971,0.750000,paid_social
demand_following_weak,demand_following,weak,0.500000,0.180000,controlled_adstock,40,0.950000,0.500000,0.530000,0.979263,0.437500,paid_search
demand_following_weak,demand_following,weak,0.500000,0.180000,controlled_saturation,40,0.700000,0.662500,0.485000,0.949170,0.493750,paid_search
demand_following_weak,demand_following,weak,0.500000,0.180000,naive_raw_spend,40,0.000000,0.500000,-0.200000,0.824125,0.750000,paid_social
randomized_base,randomized,base,1.000000,0.140000,controlled_adstock,40,0.200000,0.525000,-0.085000,0.822213,0.562500,display_video
randomized_base,randomized,base,1.000000,0.140000,controlled_saturation,40,0.175000,0.512500,0.110000,0.848070,0.681250,local_ooh
randomized_base,randomized,base,1.000000,0.140000,naive_raw_spend,40,0.150000,0.412500,-0.200000,0.808003,0.512500,display_video
randomized_strong,randomized,strong,1.600000,0.120000,controlled_adstock,40,0.350000,0.575000,0.135000,0.854073,0.618750,display_video
randomized_strong,randomized,strong,1.600000,0.120000,controlled_saturation,40,0.175000,0.562500,0.210000,0.854771,0.650000,local_ooh
randomized_strong,randomized,strong,1.600000,0.120000,naive_raw_spend,40,0.175000,0.450000,-0.045000,0.826695,0.531250,local_ooh
randomized_weak,randomized,weak,0.500000,0.180000,controlled_adstock,40,0.225000,0.462500,0.020000,0.837829,0.493750,display_video
randomized_weak,randomized,weak,0.500000,0.180000,controlled_saturation,40,0.125000,0.462500,0.065000,0.845407,0.600000,local_ooh
randomized_weak,randomized,weak,0.500000,0.180000,naive_raw_spend,40,0.150000,0.487500,0.015000,0.835924,0.468750,local_ooh
risk_targeting_base,risk_targeting,base,1.000000,0.140000,controlled_adstock,40,0.250000,0.500000,0.085000,0.831499,0.518750,local_ooh
risk_targeting_base,risk_targeting,base,1.000000,0.140000,controlled_saturation,40,0.925000,0.550000,0.745000,0.977743,0.468750,paid_search
risk_targeting_base,risk_targeting,base,1.000000,0.140000,naive_raw_spend,40,0.000000,0.000000,-0.800000,0.686702,0.000000,display_video
risk_targeting_strong,risk_targeting,strong,1.600000,0.120000,controlled_adstock,40,0.125000,0.600000,0.170000,0.830154,0.493750,paid_social
risk_targeting_strong,risk_targeting,strong,1.600000,0.120000,controlled_saturation,40,0.925000,0.562500,0.720000,0.972220,0.468750,paid_search
risk_targeting_strong,risk_targeting,strong,1.600000,0.120000,naive_raw_spend,40,0.000000,0.000000,-0.800000,0.686817,0.000000,display_video
risk_targeting_weak,risk_targeting,weak,0.500000,0.180000,controlled_adstock,40,0.200000,0.612500,0.260000,0.845917,0.493750,paid_social
risk_targeting_weak,risk_targeting,weak,0.500000,0.180000,controlled_saturation,40,0.850000,0.550000,0.650000,0.955927,0.450000,paid_search
risk_targeting_weak,risk_targeting,weak,0.500000,0.180000,naive_raw_spend,40,0.000000,0.000000,-0.800000,0.686756,0.000000,display_video
seasonal_campaign_base,seasonal_campaign,base,1.000000,0.140000,controlled_adstock,40,0.825000,0.525000,0.470000,0.948266,0.450000,paid_search
seasonal_campaign_base,seasonal_campaign,base,1.000000,0.140000,controlled_saturation,40,0.725000,0.750000,0.660000,0.960307,0.493750,paid_search
seasonal_campaign_base,seasonal_campaign,base,1.000000,0.140000,naive_raw_spend,40,0.000000,1.000000,0.800000,0.935185,0.500000,paid_social
seasonal_campaign_strong,seasonal_campaign,strong,1.600000,0.120000,controlled_adstock,40,0.925000,0.525000,0.535000,0.957775,0.418750,paid_search
seasonal_campaign_strong,seasonal_campaign,strong,1.600000,0.120000,controlled_saturation,40,0.725000,0.775000,0.715000,0.963566,0.481250,paid_search
seasonal_campaign_strong,seasonal_campaign,strong,1.600000,0.120000,naive_raw_spend,40,0.000000,1.000000,0.800000,0.935143,0.500000,paid_social
seasonal_campaign_weak,seasonal_campaign,weak,0.500000,0.180000,controlled_adstock,40,0.975000,0.600000,0.615000,0.966616,0.418750,paid_search
seasonal_campaign_weak,seasonal_campaign,weak,0.500000,0.180000,controlled_saturation,40,0.650000,0.825000,0.695000,0.958993,0.500000,paid_search
seasonal_campaign_weak,seasonal_campaign,weak,0.500000,0.180000,naive_raw_spend,40,0.000000,1.000000,0.800000,0.935126,0.500000,paid_social
