route_id,model_role,origin_iata,destination_iata,route_group,strategic_role,route_segment,distance_km,nearest_origin_hub_iata,nearest_origin_hub_distance_km,total_months_2023_2025,labeled_months_2023_2025,active_months_2023_2025,inactive_months_2023_2025,uncovered_months_2023_2025,label_coverage_2023_2025,active_rate_2023_2025,recent_active_rate_2025,last_labeled_month_2023_2025,end_of_period_route_status,median_weekly_frequency_proxy_2023_2025,avg_origin_domestic_air_carrier_movements_2023_2025,avg_destination_domestic_air_carrier_movements_2023_2025,avg_nearest_hub_domestic_air_carrier_movements_2023_2025,avg_destination_screened_passengers_2023_2025,competition_pressure_score,demand_context_score,service_viability_score,regional_strategic_fit_score,service_gap_score,data_confidence_score,route_sustainability_score_v0,marketing_support_priority_score_v0,opportunity_rank_target_only,recommendation
YKF_YVR,target,YKF,YVR,personal_anchor,long_haul_regional,long_haul,3301.9000,YYZ,65.3000,36,36,33,3,0,1.0000,0.9167,0.7500,2025-12-01,inactive,7.0000,4666.8333,15765.3333,12073.6667,891076.1111,49.5383,86.1288,59.8333,100.0000,75.0000,99.4792,76.7484,81.9442,1,Relaunch feasibility test; verify airline capacity first
YKF_YEG,target,YKF,YEG,regional_to_hub,western_access,long_haul,2654.3000,YYZ,65.3000,36,36,21,15,0,1.0000,0.5833,1.0000,2025-12-01,active,2.0000,4666.8333,7263.2500,12073.6667,281945.1944,49.5383,54.8784,83.8095,92.0000,85.7143,93.9236,73.3315,71.6207,2,Scale or defend with controlled campaign
YKF_YYC,target,YKF,YYC,regional_to_hub,western_access,long_haul,2648.9000,YYZ,65.3000,36,20,20,0,16,0.5556,1.0000,1.0000,2025-12-01,active,7.0000,4666.8333,12083.2222,12073.6667,585932.9167,49.5383,75.0572,93.0556,92.0000,50.0000,52.0833,76.3453,68.1332,3,Run test-and-learn marketing
YXU_YVR,target,YXU,YVR,regional_to_hub,long_haul_regional,long_haul,3266.9000,YYZ,142.8000,36,31,28,3,5,0.8611,0.9032,0.7500,2025-12-01,inactive,3.0000,730.0000,15765.3333,12073.6667,891076.1111,17.5189,65.0000,53.8899,100.0000,75.0000,81.4236,68.8231,67.3961,4,Relaunch feasibility test; verify airline capacity first
YXX_YYC,target,YXX,YYC,regional_to_hub,western_access,medium_haul,639.3000,YVR,62.7000,36,36,36,0,0,1.0000,1.0000,1.0000,2025-12-01,active,9.0000,4243.9722,12083.2222,15765.3333,585932.9167,62.1628,63.9750,99.6429,78.0000,35.7143,93.7500,77.5137,65.8572,5,Run test-and-learn marketing
YXU_YYC,target,YXU,YYC,regional_to_hub,western_access,long_haul,2619.6000,YYZ,142.8000,36,36,36,0,0,1.0000,1.0000,1.0000,2025-12-01,active,4.0000,730.0000,12083.2222,12073.6667,585932.9167,17.5189,53.9284,94.2857,92.0000,71.4286,100.0000,80.8266,63.3966,6,Run test-and-learn marketing
YKF_YHZ,target,YKF,YHZ,regional_to_hub,eastern_access,medium_haul,1352.2000,YYZ,65.3000,36,36,36,0,0,1.0000,1.0000,1.0000,2025-12-01,active,4.0000,4666.8333,3299.6389,12073.6667,153944.4444,49.5383,31.1288,94.2857,78.0000,71.4286,100.0000,67.9848,59.4606,7,Watchlist; improve evidence first
YXX_YEG,target,YXX,YEG,regional_to_hub,western_access,medium_haul,774.8000,YVR,62.7000,36,36,36,0,0,1.0000,1.0000,1.0000,2025-12-01,active,10.0000,4243.9722,7263.2500,15765.3333,281945.1944,62.1628,43.7962,100.0000,78.0000,28.5714,93.7500,71.5851,58.7321,8,Maintain service; monitor capacity and leakage
YHM_YEG,target,YHM,YEG,regional_to_hub,western_access,long_haul,2702.1000,YYZ,61.4000,36,17,17,0,19,0.4722,1.0000,1.0000,2025-12-01,active,6.0000,1138.8056,7263.2500,12073.6667,281945.1944,52.0658,38.8117,91.1508,92.0000,57.1429,47.2222,63.8230,58.3503,9,Watchlist; improve evidence first
YLW_YYC,target,YLW,YYC,regional_to_hub,western_access,medium_haul,400.6000,YVR,286.9000,36,36,36,0,0,1.0000,1.0000,1.0000,2025-12-01,active,5.0000,3347.9167,12083.2222,15765.3333,585932.9167,0.0000,61.2730,95.3571,78.0000,64.2857,93.7500,81.4194,56.8998,10,Maintain service; monitor capacity and leakage
