iata,month,statcan_airport,domestic_total_itinerant_movements,domestic_air_carrier_level_i_iii_movements,domestic_air_carrier_level_iv_vi_movements,domestic_air_carrier_all_levels_movements,transborder_total_itinerant_movements,other_international_total_itinerant_movements,source_table
YEG,2020-01-01,"Edmonton International, Alberta",8956,8153,232,8385,979,382,23100302
YEG,2020-02-01,"Edmonton International, Alberta",8363,7432,340,7772,938,347,23100302
YEG,2020-03-01,"Edmonton International, Alberta",7129,6390,284,6674,837,268,23100302
YEG,2020-04-01,"Edmonton International, Alberta",3168,2558,241,2799,115,8,23100302
YEG,2020-05-01,"Edmonton International, Alberta",3397,2558,326,2884,142,22,23100302
YEG,2020-06-01,"Edmonton International, Alberta",4132,3214,291,3505,119,35,23100302
YEG,2020-07-01,"Edmonton International, Alberta",4925,4035,302,4337,121,14,23100302
YEG,2020-08-01,"Edmonton International, Alberta",5011,4068,307,4375,85,6,23100302
YEG,2020-09-01,"Edmonton International, Alberta",4994,4009,283,4292,96,4,23100302
YEG,2020-10-01,"Edmonton International, Alberta",4809,3978,253,4231,94,12,23100302
YEG,2020-11-01,"Edmonton International, Alberta",4455,3745,232,3977,107,27,23100302
YEG,2020-12-01,"Edmonton International, Alberta",4673,3998,257,4255,121,38,23100302
YEG,2021-01-01,"Edmonton International, Alberta",4300,3514,310,3824,120,47,23100302
YEG,2021-02-01,"Edmonton International, Alberta",3813,3173,216,3389,79,5,23100302
YEG,2021-03-01,"Edmonton International, Alberta",4453,3580,358,3938,84,1,23100302
YEG,2021-04-01,"Edmonton International, Alberta",4182,3411,301,3712,89,2,23100302
YEG,2021-05-01,"Edmonton International, Alberta",4537,3727,336,4063,98,3,23100302
YEG,2021-06-01,"Edmonton International, Alberta",5055,4106,304,4410,81,3,23100302
YEG,2021-07-01,"Edmonton International, Alberta",6486,5375,302,5677,101,12,23100302
YEG,2021-08-01,"Edmonton International, Alberta",7223,6256,273,6529,161,10,23100302
YEG,2021-09-01,"Edmonton International, Alberta",7440,6431,288,6719,218,21,23100302
YEG,2021-10-01,"Edmonton International, Alberta",7183,6276,330,6606,312,33,23100302
YEG,2021-11-01,"Edmonton International, Alberta",6332,5529,255,5784,454,182,23100302
YEG,2021-12-01,"Edmonton International, Alberta",6499,5839,204,6043,499,240,23100302
YEG,2022-01-01,"Edmonton International, Alberta",5946,5281,261,5542,352,224,23100302
YEG,2022-02-01,"Edmonton International, Alberta",5408,4675,277,4952,362,203,23100302
YEG,2022-03-01,"Edmonton International, Alberta",6423,5596,306,5902,425,215,23100302
YEG,2022-04-01,"Edmonton International, Alberta",6593,5757,357,6114,592,204,23100302
YEG,2022-05-01,"Edmonton International, Alberta",8050,6868,390,7258,587,85,23100302
YEG,2022-06-01,"Edmonton International, Alberta",8155,7004,380,7384,576,69,23100302
YEG,2022-07-01,"Edmonton International, Alberta",8416,7253,368,7621,553,66,23100302
YEG,2022-08-01,"Edmonton International, Alberta",8995,7826,374,8200,540,77,23100302
YEG,2022-09-01,"Edmonton International, Alberta",8148,7049,349,7398,571,57,23100302
YEG,2022-10-01,"Edmonton International, Alberta",7980,6991,356,7347,690,80,23100302
YEG,2022-11-01,"Edmonton International, Alberta",7290,6542,265,6807,808,270,23100302
YEG,2022-12-01,"Edmonton International, Alberta",7167,6503,222,6725,809,352,23100302
YEG,2023-01-01,"Edmonton International, Alberta",6879,6208,316,6524,784,384,23100302
YEG,2023-02-01,"Edmonton International, Alberta",6515,5758,321,6079,757,367,23100302
YEG,2023-03-01,"Edmonton International, Alberta",7630,6707,430,7137,835,396,23100302
YEG,2023-04-01,"Edmonton International, Alberta",7311,6341,415,6756,853,336,23100302
YEG,2023-05-01,"Edmonton International, Alberta",9218,8076,369,8445,747,134,23100302
YEG,2023-06-01,"Edmonton International, Alberta",8709,7686,341,8027,714,130,23100302
YEG,2023-07-01,"Edmonton International, Alberta",9011,8047,292,8339,692,106,23100302
YEG,2023-08-01,"Edmonton International, Alberta",9531,8368,332,8700,753,106,23100302
YEG,2023-09-01,"Edmonton International, Alberta",8208,7213,342,7555,756,85,23100302
YEG,2023-10-01,"Edmonton International, Alberta",8230,6988,562,7550,857,133,23100302
YEG,2023-11-01,"Edmonton International, Alberta",6771,5915,327,6242,881,375,23100302
YEG,2023-12-01,"Edmonton International, Alberta",6919,6010,359,6369,863,438,23100302
YEG,2024-01-01,"Edmonton International, Alberta",6673,5991,275,6266,789,472,23100302
YEG,2024-02-01,"Edmonton International, Alberta",6383,5606,309,5915,801,445,23100302
YEG,2024-03-01,"Edmonton International, Alberta",6660,5873,324,6197,924,475,23100302
YEG,2024-04-01,"Edmonton International, Alberta",7115,6160,396,6556,883,410,23100302
YEG,2024-05-01,"Edmonton International, Alberta",8331,7230,325,7555,947,139,23100302
YEG,2024-06-01,"Edmonton International, Alberta",8360,7375,295,7670,1004,85,23100302
YEG,2024-07-01,"Edmonton International, Alberta",8905,7936,320,8256,961,84,23100302
YEG,2024-08-01,"Edmonton International, Alberta",8783,7814,303,8117,988,88,23100302
YEG,2024-09-01,"Edmonton International, Alberta",8209,7164,313,7477,976,74,23100302
YEG,2024-10-01,"Edmonton International, Alberta",8084,7242,288,7530,939,134,23100302
YEG,2024-11-01,"Edmonton International, Alberta",6928,6332,156,6488,877,355,23100302
YEG,2024-12-01,"Edmonton International, Alberta",7182,6593,190,6783,833,441,23100302
YEG,2025-01-01,"Edmonton International, Alberta",7272,6575,234,6809,797,471,23100302
YEG,2025-02-01,"Edmonton International, Alberta",6404,5775,196,5971,751,425,23100302
YEG,2025-03-01,"Edmonton International, Alberta",7165,6379,372,6751,927,483,23100302
YEG,2025-04-01,"Edmonton International, Alberta",7484,6579,395,6974,824,401,23100302
YEG,2025-05-01,"Edmonton International, Alberta",8692,7731,291,8022,828,109,23100302
YEG,2025-06-01,"Edmonton International, Alberta",8986,7929,239,8168,860,96,23100302
YEG,2025-07-01,"Edmonton International, Alberta",9512,8568,260,8828,806,81,23100302
YEG,2025-08-01,"Edmonton International, Alberta",9045,8315,223,8538,843,90,23100302
YEG,2025-09-01,"Edmonton International, Alberta",8547,7671,245,7916,822,84,23100302
YEG,2025-10-01,"Edmonton International, Alberta",8339,7495,268,7763,831,138,23100302
YEG,2025-11-01,"Edmonton International, Alberta",6865,6257,190,6447,820,405,23100302
YEG,2025-12-01,"Edmonton International, Alberta",7098,6631,126,6757,826,453,23100302
YHM,2020-01-01,"Hamilton, Ontario",1246,1006,128,1134,695,264,23100302
YHM,2020-02-01,"Hamilton, Ontario",1197,947,115,1062,706,261,23100302
YHM,2020-03-01,"Hamilton, Ontario",1210,1012,102,1114,648,202,23100302
YHM,2020-04-01,"Hamilton, Ontario",723,674,4,678,389,27,23100302
YHM,2020-05-01,"Hamilton, Ontario",753,687,9,696,394,41,23100302
YHM,2020-06-01,"Hamilton, Ontario",1022,812,103,915,465,58,23100302
YHM,2020-07-01,"Hamilton, Ontario",1529,890,313,1203,503,55,23100302
YHM,2020-08-01,"Hamilton, Ontario",1724,868,397,1265,568,50,23100302
YHM,2020-09-01,"Hamilton, Ontario",1615,834,417,1251,574,65,23100302
YHM,2020-10-01,"Hamilton, Ontario",1409,909,243,1152,554,50,23100302
YHM,2020-11-01,"Hamilton, Ontario",1395,889,395,1284,757,56,23100302
YHM,2020-12-01,"Hamilton, Ontario",1554,1054,386,1440,839,67,23100302
YHM,2021-01-01,"Hamilton, Ontario",1065,731,269,1000,710,49,23100302
YHM,2021-02-01,"Hamilton, Ontario",831,650,93,743,487,54,23100302
