iata,month,statcan_geo,metric,value,source_table
YEG,2020-01-01,"Edmonton International, Alberta",total_screened_passengers,273108,23100312
YEG,2020-02-01,"Edmonton International, Alberta",total_screened_passengers,256229,23100312
YEG,2020-03-01,"Edmonton International, Alberta",total_screened_passengers,127715,23100312
YEG,2020-04-01,"Edmonton International, Alberta",total_screened_passengers,9685,23100312
YEG,2020-05-01,"Edmonton International, Alberta",total_screened_passengers,13110,23100312
YEG,2020-06-01,"Edmonton International, Alberta",total_screened_passengers,27461,23100312
YEG,2020-07-01,"Edmonton International, Alberta",total_screened_passengers,55037,23100312
YEG,2020-08-01,"Edmonton International, Alberta",total_screened_passengers,65461,23100312
YEG,2020-09-01,"Edmonton International, Alberta",total_screened_passengers,56238,23100312
YEG,2020-10-01,"Edmonton International, Alberta",total_screened_passengers,57057,23100312
YEG,2020-11-01,"Edmonton International, Alberta",total_screened_passengers,50907,23100312
YEG,2020-12-01,"Edmonton International, Alberta",total_screened_passengers,49877,23100312
YEG,2021-01-01,"Edmonton International, Alberta",total_screened_passengers,39613,23100312
YEG,2021-02-01,"Edmonton International, Alberta",total_screened_passengers,30883,23100312
YEG,2021-03-01,"Edmonton International, Alberta",total_screened_passengers,38971,23100312
YEG,2021-04-01,"Edmonton International, Alberta",total_screened_passengers,36991,23100312
YEG,2021-05-01,"Edmonton International, Alberta",total_screened_passengers,36129,23100312
YEG,2021-06-01,"Edmonton International, Alberta",total_screened_passengers,60428,23100312
YEG,2021-07-01,"Edmonton International, Alberta",total_screened_passengers,133608,23100312
YEG,2021-08-01,"Edmonton International, Alberta",total_screened_passengers,172666,23100312
YEG,2021-09-01,"Edmonton International, Alberta",total_screened_passengers,144456,23100312
YEG,2021-10-01,"Edmonton International, Alberta",total_screened_passengers,140266,23100312
YEG,2021-11-01,"Edmonton International, Alberta",total_screened_passengers,143508,23100312
YEG,2021-12-01,"Edmonton International, Alberta",total_screened_passengers,168631,23100312
YEG,2022-01-01,"Edmonton International, Alberta",total_screened_passengers,113502,23100312
YEG,2022-02-01,"Edmonton International, Alberta",total_screened_passengers,118978,23100312
YEG,2022-03-01,"Edmonton International, Alberta",total_screened_passengers,168854,23100312
YEG,2022-04-01,"Edmonton International, Alberta",total_screened_passengers,191406,23100312
YEG,2022-05-01,"Edmonton International, Alberta",total_screened_passengers,221028,23100312
YEG,2022-06-01,"Edmonton International, Alberta",total_screened_passengers,240766,23100312
YEG,2022-07-01,"Edmonton International, Alberta",total_screened_passengers,275405,23100312
YEG,2022-08-01,"Edmonton International, Alberta",total_screened_passengers,272277,23100312
YEG,2022-09-01,"Edmonton International, Alberta",total_screened_passengers,240045,23100312
YEG,2022-10-01,"Edmonton International, Alberta",total_screened_passengers,245724,23100312
YEG,2022-11-01,"Edmonton International, Alberta",total_screened_passengers,245727,23100312
YEG,2022-12-01,"Edmonton International, Alberta",total_screened_passengers,257597,23100312
YEG,2023-01-01,"Edmonton International, Alberta",total_screened_passengers,241477,23100312
YEG,2023-02-01,"Edmonton International, Alberta",total_screened_passengers,228589,23100312
YEG,2023-03-01,"Edmonton International, Alberta",total_screened_passengers,264757,23100312
YEG,2023-04-01,"Edmonton International, Alberta",total_screened_passengers,248488,23100312
YEG,2023-05-01,"Edmonton International, Alberta",total_screened_passengers,265284,23100312
YEG,2023-06-01,"Edmonton International, Alberta",total_screened_passengers,282374,23100312
YEG,2023-07-01,"Edmonton International, Alberta",total_screened_passengers,337124,23100312
YEG,2023-08-01,"Edmonton International, Alberta",total_screened_passengers,338603,23100312
YEG,2023-09-01,"Edmonton International, Alberta",total_screened_passengers,277735,23100312
YEG,2023-10-01,"Edmonton International, Alberta",total_screened_passengers,277480,23100312
YEG,2023-11-01,"Edmonton International, Alberta",total_screened_passengers,248218,23100312
YEG,2023-12-01,"Edmonton International, Alberta",total_screened_passengers,252881,23100312
YEG,2024-01-01,"Edmonton International, Alberta",total_screened_passengers,249522,23100312
YEG,2024-02-01,"Edmonton International, Alberta",total_screened_passengers,238510,23100312
YEG,2024-03-01,"Edmonton International, Alberta",total_screened_passengers,252924,23100312
YEG,2024-04-01,"Edmonton International, Alberta",total_screened_passengers,253018,23100312
YEG,2024-05-01,"Edmonton International, Alberta",total_screened_passengers,281364,23100312
YEG,2024-06-01,"Edmonton International, Alberta",total_screened_passengers,286965,23100312
YEG,2024-07-01,"Edmonton International, Alberta",total_screened_passengers,340233,23100312
YEG,2024-08-01,"Edmonton International, Alberta",total_screened_passengers,342701,23100312
YEG,2024-09-01,"Edmonton International, Alberta",total_screened_passengers,280863,23100312
YEG,2024-10-01,"Edmonton International, Alberta",total_screened_passengers,292821,23100312
YEG,2024-11-01,"Edmonton International, Alberta",total_screened_passengers,282263,23100312
YEG,2024-12-01,"Edmonton International, Alberta",total_screened_passengers,289422,23100312
YEG,2025-01-01,"Edmonton International, Alberta",total_screened_passengers,267449,23100312
YEG,2025-02-01,"Edmonton International, Alberta",total_screened_passengers,248392,23100312
YEG,2025-03-01,"Edmonton International, Alberta",total_screened_passengers,269497,23100312
YEG,2025-04-01,"Edmonton International, Alberta",total_screened_passengers,262533,23100312
YEG,2025-05-01,"Edmonton International, Alberta",total_screened_passengers,287086,23100312
YEG,2025-06-01,"Edmonton International, Alberta",total_screened_passengers,299673,23100312
YEG,2025-07-01,"Edmonton International, Alberta",total_screened_passengers,344780,23100312
YEG,2025-08-01,"Edmonton International, Alberta",total_screened_passengers,353557,23100312
YEG,2025-09-01,"Edmonton International, Alberta",total_screened_passengers,296857,23100312
YEG,2025-10-01,"Edmonton International, Alberta",total_screened_passengers,304936,23100312
YEG,2025-11-01,"Edmonton International, Alberta",total_screened_passengers,276582,23100312
YEG,2025-12-01,"Edmonton International, Alberta",total_screened_passengers,285069,23100312
YHZ,2020-01-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,103051,23100312
YHZ,2020-02-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,116294,23100312
YHZ,2020-03-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,70288,23100312
YHZ,2020-04-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,3908,23100312
YHZ,2020-05-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,5443,23100312
YHZ,2020-06-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,9114,23100312
YHZ,2020-07-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,17922,23100312
YHZ,2020-08-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,24855,23100312
YHZ,2020-09-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,19556,23100312
YHZ,2020-10-01,"Halifax/Robert L Stanfield International, Nova Scotia",total_screened_passengers,17618,23100312
